url,municipality_url,property_id,price,cadastral_income,vat,state_of_the_property,currently_leased,build_year,number_of_bedrooms,livable_surface,number_of_bathrooms,number_of_toilets,type_of_heating,number_of_facades,number_of_floors,garden,garden_orientation,terrace,total_land_surface,buildable_surface,gas,running_water,specific_primary_energy_consumption,epc_peb_reference,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu42557,merksem,RBU42557,335 000 €,642 €,No,To be renovated,No,1918,4,168 m²,1,1,Gas,2,2,Yes,East,No,110 m²,76 m²,Yes,Yes,341 kWh/m²/year,20230712-0002942223-RES-1,No certificate,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu42279,deurne,RBU42279,269 000 €,540 €,No,To be renovated,No,1930,3,106 m²,1,2,Gas,2,,No,,Yes,75 m²,56 m²,,,422 kWh/m²/year,202506160003621569RES1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu42647,wilrijk,RBU42647,265 000 €,832 €,No,To be renovated,,,2,145 m²,1,,Gas,,,Yes,,Yes,150 m²,145 m²,,,334 kWh/m²/year,20250116-0003506348-RES-1,No certificate,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu35912,merksem,RBU35912,379 000 €,394 €,No,Normal,No,,4,162 m²,1,2,Gas,2,,Yes,,Yes,154 m²,85 m²,Yes,Yes,377 kWh/m²/year,3646489,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu36273,ekeren,RBU36273,349 000 €,663 €,No,Normal,No,1930,3,172 m²,1,2,Gas,2,,Yes,,Yes,480 m²,,Yes,Yes,270 kWh/m²/year,3683915,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu20695,hoboken,RBU20695,349 000 €,,No,,No,,5,189 m²,2,2,Not specified,2,,Yes,,No,195 m²,,,,252 kWh/m²/year,3467280-RES-1,,Area info not available,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu20697,hoboken,RBU20697,355 000 €,,No,,No,,7,333 m²,3,5,Gas,2,,No,,Yes,216 m²,,,,383 kWh/m²/year,20201022-0002330872-RES-1,,Area info not available,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu20484,antwerp,RBU20484,490 000 €,,No,Fully renovated,,2023,3,117 m²,1,,Solar energy,,,Yes,,Yes,88 m²,,,,17 kWh/m²/year,11002-G-OMV_2019099307/EP14854/A001/D07/SD001,Not applicable,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbu16406,antwerp,RBU16406,175 000 €,,No,Normal,No,,2,200 m²,1,,,,,No,,No,,,,Yes,,,Not applicable,"Residential zone (residential, urban)",,a demarcated flooding area
https://immovlan.be/en/detail/master-house/for-sale/2100/deurne/rbt89973,deurne,RBT89973,450 000 €,,No,To be renovated,No,1912,4,343 m²,4,4,Gas,2,,Yes,,No,372 m²,286 m²,Yes,,609 kWh/m²/year,20240620-0003289162-RES-1,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbt79476,antwerp,RBT79476,329 000 €,,No,,No,1964,3,126 m²,1,2,Not specified,2,4,Yes,,Yes,125 m²,,,,0 kWh/m²/year,20250226-0003540264-RES-1,,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu43470,antwerp,RBU43470,480 000 €,,,New,No,2023,3,122 m²,1,2,,3,2,Yes,,Yes,,,,Yes,,,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu43471,antwerp,RBU43471,470 000 €,,,New,No,2023,3,117 m²,1,2,,3,2,Yes,,Yes,,,,Yes,,,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2140/antwerp/vwd09446,antwerp,VWD09446,549 500 €,,,Excellent,,,3,146 m²,2,,Not specified,,,Yes,,Yes,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbt87751,wilrijk,RBT87751,349 000 €,,No,To be renovated,,,3,162 m²,2,,Gas,,,Yes,,Yes,165 m²,,,,394 kWh/m²/year,20250306-0003546078-RES-1,No certificate,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbr88750,borgerhout,RBR88750,369 000 €,696 €,No,To be renovated,No,1929,3,133 m²,1,2,,2,,Yes,,No,211 m²,82 m²,,,397 kWh/m²/year,20240422-0003223225-RES-1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbr93494,antwerp,RBR93494,,1 489 €,No,To be renovated,,,6,416 m²,2,,Gas,,,Yes,,Yes,274 m²,,,,541 kWh/m²/year,20241010-0003407273-RES-1,No certificate,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbs52265,wilrijk,RBS52265,469 000 €,,,To be renovated,,,5,249 m²,3,,Gas,,2,Yes,,,184 m²,100 m²,,,275 kWh/m²/year,20220218-0002548537-RES-1,No certificate,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbs60539,antwerp,RBS60539,320 000 €,,No,,,1900,3,129 m²,1,,,2,,,,,40 m²,,,,266 kWh/m²/year,20240613-0003281119-RES-1,,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbs62573,antwerp,RBS62573,349 000 €,,No,To be renovated,,,5,181 m²,2,3,Gas,2,,Yes,,Yes,82 m²,71 m²,Yes,Yes,390 kWh/m²/year,20250202-0003515067-RES-2,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbs93664,antwerp,RBS93664,295 000 €,659 €,No,Excellent,No,1955,3,131 m²,1,2,,3,2,Yes,South-west,Yes,146 m²,,Yes,Yes,228 kWh/m²/year,,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbs95130,antwerp,RBS95130,549 000 €,946 €,No,,No,,7,245 m²,4,5,,,,Yes,,No,166 m²,,Yes,Yes,188 kWh/m²/year,,No certificate,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/2140/borgerhout/rbt00788,borgerhout,RBT00788,449 000 €,,No,Normal,No,1910,4,235 m²,1,2,Gas,2,,Yes,,Yes,184 m²,98 m²,Yes,Yes,202 kWh/m²/year,20240705-0003304249-RES-1,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbt00905,deurne,RBT00905,289 000 €,750 €,No,Normal,No,1930,4,127 m²,2,2,Gas,2,,No,,No,75 m²,49 m²,Yes,Yes,399 kWh/m²/year,202408090003336906RES1,"yes, certificate in accordance","Residential zone (residential, urban)",,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbt09962,deurne,RBT09962,345 000 €,,No,,No,,7,190 m²,3,,,2,,No,,No,100 m²,,Yes,Yes,211 kWh/m²/year,,No certificate,"Residential zone (residential, urban)",(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt14407,antwerp,RBT14407,499 000 €,,No,To be renovated,,,4,275 m²,4,4,Gas,2,,No,,Yes,101 m²,101 m²,Yes,Yes,303 kWh/m²/year,20220218-0002548854-RES-2,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbt15292,antwerp,RBT15292,529 000 €,,No,,No,,3,123 m²,1,1,Not specified,2,,,,,,,,,198 kWh/m²/year,3007177-RES-3,,Area info not available,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbt21112,deurne,RBT21112,265 000 €,1 043 €,No,Normal,No,1933,3,147 m²,1,1,,2,,Yes,,No,129 m²,52 m²,,,228 kWh/m²/year,202502100003526253RES1,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbt26450,antwerp,RBT26450,575 000 €,850 €,No,To renovate,,,4,248 m²,1,3,Gas,4,3,Yes,,Yes,,,,,273 kWh/m²/year,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2000/antwerp/rbt26464,antwerp,RBT26464,980 000 €,,No,To renovate,,,3,409 m²,2,,Gas,2,,Yes,,Yes,268 m²,,Yes,Yes,239 kWh/m²/year,,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/2000/antwerp/rbt26465,antwerp,RBT26465,980 000 €,,No,To renovate,,,3,409 m²,2,,Gas,2,,Yes,,Yes,268 m²,,Yes,Yes,239 kWh/m²/year,,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbt96439,antwerp,RBT96439,299 000 €,475 €,No,Normal,No,1930,3,130 m²,1,2,Gas,2,,Yes,,Yes,171 m²,80 m²,Yes,Yes,281 kWh/m²/year,20230906-0002982115-RES-1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbt36139,wilrijk,RBT36139,499 900 €,,No,New,No,2026,3,159 m²,1,2,Not specified,,,Yes,,Yes,109 m²,,,Yes,,,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbt99446,ekeren,RBT99446,575 000 €,1 090 €,No,To be renovated,,1962,4,166 m²,1,2,,3,1,Yes,,Yes,661 m²,,Yes,Yes,455 kWh/m²/year,,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/2100/deurne/rbu02189,deurne,RBU02189,425 000 €,,No,To renovate,,1946,4,139 m²,2,,,2,,Yes,,,,,Yes,Yes,207 kWh/m²/year,,"yes, certificate in accordance",,,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu07478,wilrijk,RBU07478,385 000 €,627 €,No,Normal,No,,4,168 m²,1,2,Gas,2,,Yes,,No,197 m²,72 m²,Yes,Yes,235 kWh/m²/year,3633162-RES-1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2140/antwerp/rbu02704,antwerp,RBU02704,399 000 €,,No,Normal,,1920,4,174 m²,1,2,,2,3,Yes,,,66 m²,,Yes,Yes,263 kWh/m²/year,,"No, certificate does not comply",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt98424,antwerp,RBT98424,349 000 €,552 €,No,Normal,No,1875,3,171 m²,1,2,Gas,2,,Yes,,Yes,74 m²,69 m²,Yes,Yes,324 kWh/m²/year,Certificaat-20250718-0003649807-RES-1,Not applicable,"Residential zone (residential, urban)",,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu00157,deurne,RBU00157,365 000 €,,No,Normal,No,1938,3,140 m²,1,2,Gas,2,,No,,No,160 m²,,,,283 kWh/m²/year,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu08868,hoboken,RBU08868,795 000 €,3 513 €,No,Normal,No,1949,5,535 m²,2,3,Gas,2,,Yes,,Yes,798 m²,404 m²,Yes,Yes,231 kWh/m²/year,20250807-0003654473-RES-1,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu11482,merksem,RBU11482,449 000 €,1 056 €,No,Normal,No,1956,4,183 m²,2,2,Gas,2,,Yes,,Yes,240 m²,115 m²,Yes,Yes,188 kWh/m²/year,20240506-0003237515-RES-1,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu15698,antwerp,RBU15698,599 000 €,793 €,No,To be renovated,No,1900,4,,4,4,Gas,2,,Yes,,Yes,68 m²,59 m²,Yes,Yes,357 kWh/m²/year,20250820-00035687451-res-1,Not applicable,,no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/2060/antwerp/rbu15699,antwerp,RBU15699,549 000 €,634 €,No,Normal,No,1900,3,,,3,Gas,2,,Yes,,Yes,65 m²,54 m²,Yes,Yes,265 kWh/m²/year,20250820-00035486257-res-1,Not applicable,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu15987,deurne,RBU15987,249 000 €,,No,To be renovated,No,,2,109 m²,1,2,Gas,2,,Yes,,Yes,112 m²,,Yes,Yes,727 kWh/m²/year,20250807-000-3660458-RES-1,"No, certificate does not comply","Residential zone (residential, urban)",,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu15989,deurne,RBU15989,399 000 €,768 €,No,Normal,No,1950,4,162 m²,3,,Gas,2,,Yes,,Yes,167 m²,73 m²,Yes,Yes,159 kWh/m²/year,2025062600036307394RES1,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu15990,deurne,RBU15990,499 000 €,1 744 €,No,Normal,No,1930,3,180 m²,2,3,Gas,2,,No,,Yes,263 m²,,Yes,Yes,158 kWh/m²/year,202311150003040329RES1,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu16016,deurne,RBU16016,299 000 €,469 €,No,Normal,No,1932,3,112 m²,1,2,Gas,2,,Yes,,No,97 m²,99 m²,Yes,Yes,154 kWh/m²/year,202505080003596457RES2,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu16052,deurne,RBU16052,375 000 €,733 €,No,Normal,No,1946,3,193 m²,2,,Gas,2,,Yes,,No,108 m²,63 m²,Yes,Yes,236 kWh/m²/year,202507040003637242RES1,"yes, certificate in accordance","Residential zone (residential, urban)",,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu16378,antwerp,RBU16378,215 000 €,513 €,No,To be renovated,No,1933,3,158 m²,2,2,Gas,2,,No,,No,58 m²,54 m²,Yes,Yes,332 kWh/m²/year,20210630-0002436104-RES-1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/2000/antwerp/rbu16393,antwerp,RBU16393,750 000 €,,No,Normal,No,1920,6,222 m²,3,,Gas,2,,No,,No,67 m²,67 m²,Yes,Yes,415 kWh/m²/year,30397737-RES-1,Not applicable,"Residential zone (residential, urban)",,a demarcated flooding area
https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbu16409,antwerp,RBU16409,329 000 €,433 €,No,Normal,No,,3,132 m²,2,1,Gas,2,1,No,,Yes,77 m²,73 m²,Yes,Yes,379 kWh/m²/year,20241031-0003432372-RES-1,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbu16419,borgerhout,RBU16419,399 000 €,1 891 €,No,To be renovated,No,1899,4,262 m²,2,2,Gas,2,,No,,No,272 m²,245 m²,Yes,Yes,351 kWh/m²/year,3481363-res-1,"yes, certificate in accordance","Residential zone (residential, urban)",,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu16422,antwerp,RBU16422,399 000 €,,No,Normal,No,,5,168 m²,,,Gas,3,,No,,No,,,,,343 kWh/m²/year,3578330-RES-1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu16433,antwerp,RBU16433,340 000 €,,No,To be renovated,No,1940,4,181 m²,2,3,Gas,2,,No,,Yes,70 m²,70 m²,Yes,Yes,414 kWh/m²/year,3528972-RES-1,"No, certificate does not comply","Residential area of cultural, historical value",no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/2600/berchem/rbu16437,berchem,RBU16437,490 000 €,956 €,No,Normal,No,1930,5,250 m²,3,3,Gas,2,,Yes,,Yes,159 m²,108 m²,Yes,Yes,340 kWh/m²/year,,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu16440,antwerp,RBU16440,549 000 €,,No,To be renovated,No,,3,228 m²,2,2,Gas,3,,No,,No,84 m²,84 m²,Yes,Yes,232 kWh/m²/year,20240801-0003102757-RES-3,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbu16446,antwerp,RBU16446,525 000 €,,No,Normal,No,,3,290 m²,2,2,Gas,2,,No,,No,106 m²,106 m²,Yes,Yes,267 kWh/m²/year,3575569-RES-1,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu16486,antwerp,RBU16486,919 000 €,1 093 €,No,To be renovated,No,,5,387 m²,4,,Gas,2,,No,,Yes,223 m²,221 m²,Yes,Yes,532 kWh/m²/year,20210506-0002412207-RES-1,"yes, certificate in accordance","Residential area of cultural, historical value",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu16512,hoboken,RBU16512,445 000 €,1 003 €,No,Normal,No,1966,4,185 m²,1,2,Gas,3,,Yes,,Yes,305 m²,104 m²,Yes,Yes,,3661378-RES-1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu16621,wilrijk,RBU16621,497 200 €,1 591 €,No,To be renovated,No,1965,3,228 m²,1,3,Gas,3,,Yes,,Yes,211 m²,,Yes,Yes,369 kWh/m²/year,,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu16729,ekeren,RBU16729,399 000 €,,No,,No,1958,3,220 m²,2,3,Gas,3,,Yes,,No,392 m²,,,,0 kWh/m²/year,20230821-0002968963-RES-1,,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu16914,deurne,RBU16914,279 000 €,505 €,No,Normal,No,,5,119 m²,5,5,Electricity,2,,Yes,,Yes,71 m²,,Yes,Yes,657 kWh/m²/year,202502240003538105RES1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rwc40525,deurne,RWC40525,459 500 €,1 541 €,No,Excellent,,2013,4,168 m²,2,,Gas,2,,Yes,,Yes,,,,,78 kWh/m²/year,0003669482,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu19867,deurne,RBU19867,295 000 €,,No,To be renovated,No,1934,2,134 m²,2,2,Gas,2,,Yes,,No,93 m²,,,,257 kWh/m²/year,202508120003663324RES1,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu20192,merksem,RBU20192,315 000 €,979 €,No,Normal,No,1951,4,186 m²,1,2,Gas,2,,Yes,,Yes,174 m²,97 m²,Yes,Yes,361 kWh/m²/year,3579940,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu20194,merksem,RBU20194,349 000 €,920 €,No,To be renovated,No,1946,4,180 m²,2,2,Gas,2,,Yes,,Yes,72 m²,68 m²,Yes,Yes,269 kWh/m²/year,3639243,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu20382,ekeren,RBU20382,309 000 €,550 €,No,Normal,No,1941,3,167 m²,1,1,Gas,2,,Yes,,Yes,230 m²,,Yes,Yes,429 kWh/m²/year,2141504,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu20383,ekeren,RBU20383,309 000 €,,No,To be renovated,No,1966,3,159 m²,1,2,Gas,2,,Yes,,Yes,195 m²,,,,534 kWh/m²/year,20250811-0003662652-RES-1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2040/antwerp/rwc39588,antwerp,RWC39588,408 050 €,,,Excellent,No,2025,3,515 m²,1,,Gas,3,,Yes,,,,,Yes,Yes,,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rwc39589,wilrijk,RWC39589,408 050 €,,,Excellent,No,2025,3,320 m²,1,,Gas,3,,Yes,,,,,Yes,Yes,,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rwc39590,ekeren,RWC39590,408 050 €,,,Excellent,No,2025,3,792 m²,1,,Gas,3,,Yes,,,,,Yes,Yes,,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rwc39591,merksem,RWC39591,402 050 €,,,Excellent,Yes,2025,3,306 m²,,,Gas,3,,Yes,,,,,Yes,Yes,,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2140/antwerp/rwc39609,antwerp,RWC39609,220 000 €,,No,Normal,,1976,4,110 m²,3,,Gas,2,,,,Yes,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/villa/for-sale/2040/antwerp/rwc39597,antwerp,RWC39597,393 050 €,,,Excellent,No,2025,3,420 m²,1,,Gas,4,,Yes,,,,,Yes,Yes,,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt45088,antwerp,RBT45088,469 000 €,1 668 €,No,Normal,No,1976,2,238 m²,1,2,Gas,2,,No,,Yes,110 m²,110 m²,Yes,Yes,151 kWh/m²/year,Certificaat-20250526-0003610075-RES-1,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt46918,antwerp,RBT46918,165 000 €,158 €,No,To be renovated,No,1850,2,42 m²,1,1,Gas,2,,No,,No,62 m²,34 m²,Yes,Yes,957 kWh/m²/year,20250505-0003592745-RES-1,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt48197,antwerp,RBT48197,495 000 €,,No,Normal,No,,4,333 m²,2,2,Gas,2,,Yes,,Yes,209 m²,170 m²,Yes,Yes,368 kWh/m²/year,202411114-0003438929-RES-2,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbt68986,antwerp,RBT68986,973 000 €,1 149 €,No,Fully renovated,,1850,5,286 m²,3,,Gas,,,Yes,,Yes,339 m²,,,,147 kWh/m²/year,20240710-0003308760-RES-1,No certificate,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbt66718,berchem,RBT66718,375 000 €,,No,To be renovated,No,,4,184 m²,2,2,Electricity,3,,No,,No,62 m²,62 m²,Yes,Yes,656 kWh/m²/year,20210323-0002391644-res-1,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2140/antwerp/rbt65444,antwerp,RBT65444,475 000 €,,No,,No,1952,3,132 m²,1,,Gas,2,,Yes,,No,207 m²,,,,,,,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt73777,antwerp,RBT73777,595 000 €,,No,To be renovated,No,,7,250 m²,6,7,Gas,2,,Yes,,Yes,100 m²,90 m²,Yes,Yes,,20241209-0003474250-knr-1,Not applicable,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/villa/for-sale/2610/wilrijk/rbt73823,wilrijk,RBT73823,650 000 €,2 010 €,No,To be renovated,No,1972,3,195 m²,2,3,Hot air,4,2,Yes,,No,560 m²,,Yes,Yes,494 kWh/m²/year,,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbt77260,borgerhout,RBT77260,280 000 €,580 €,No,To be renovated,No,1918,4,177 m²,1,2,Coal,2,,Yes,,No,,,,,473 kWh/m²/year,3574196-RES-1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2000/antwerp/rbt87283,antwerp,RBT87283,399 000 €,1 239 €,No,Normal,No,1850,3,75 m²,3,3,Electricity,2,3,Yes,,Yes,40 m²,32 m²,,Yes,452 kWh/m²/year,3398334,"yes, certificate in accordance","Residential area of cultural, historical value",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbt87482,hoboken,RBT87482,310 000 €,718 €,No,To be renovated,No,,2,171 m²,1,,,2,,Yes,,No,226 m²,80 m²,,,228 kWh/m²/year,20240126-00033122349-RES-1,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbt87492,wilrijk,RBT87492,440 000 €,,No,Normal,No,1961,5,214 m²,1,2,Gas,2,,Yes,,Yes,190 m²,80 m²,Yes,Yes,241 kWh/m²/year,,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbu20703,antwerp,RBU20703,1 095 000 €,1 302 €,No,Fully renovated,,,4,,2,,Gas,,,Yes,,No,,,,,99 kWh/m²/year,11002-G-OMV_2022077521/EP14805/A001/D01/SD001,No certificate,,no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbu23315,antwerp,RBU23315,665 000 €,649 €,No,Fully renovated,,,4,190 m²,2,,Gas,,,No,,Yes,57 m²,,,,219 kWh/m²/year,20200604-0002276805-RES-1,No certificate,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23166,hoboken,RBU23166,199 000 €,497 €,No,To be renovated,No,1918,1,116 m²,1,2,Electricity,2,,No,,No,58 m²,58 m²,,Yes,493 kWh/m²/year,20250803-0003657875-RES-2,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu23653,deurne,RBU23653,219 000 €,,No,To be renovated,No,1937,2,134 m²,1,,Not specified,2,,Yes,,No,111 m²,,,Yes,495 kWh/m²/year,202507180003650008RES1,"No, certificate does not comply","Residential zone (residential, urban)",,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23697,hoboken,RBU23697,364 000 €,,No,,No,1929,3,165 m²,1,,Gas,2,,Yes,,No,265 m²,,,,156 kWh/m²/year,20241010-0003408093-RES-1,,"Residential zone (residential, urban)",no flooding area,(information not available)
